Date,Code,Gross_num,PctGrossVsIssuedPct_num
2025-12-23,MM8,30500,0.003987318205024492
2025-12-23,CPU,30406,0.0052570331490985785
2025-12-23,CNU,30110,0.006939590169238742
2025-12-23,TOR,30000,0.005034895247795995
2025-12-23,CDA,29965,0.01647615968424541
2025-12-23,POL,29811,0.009677091797562796
2025-12-23,VDHG,28610,0.06065268093435656
2025-12-23,CZR,27908,0.011672709472936596
2025-12-23,ASIA,27667,0.04321191794911586
2025-12-23,NEM,27596,0.0297055602649401
2025-12-23,SOL,27522,0.007244162728057874
2025-12-23,RIC,27407,0.007311397958550554
2025-12-23,SMI,27371,0.003275774281479987
2025-12-23,DTL,27179,0.01752603713382881
2025-12-23,RDX,26027,0.004956755012100713
2025-12-23,DXI,25727,0.008108868540011032
2025-12-23,FEMX,25716,0.09506530268387951
2025-12-23,GOZ,25716,0.0034092409211871843
2025-12-23,FAL,25585,0.01203178854495384
2025-12-23,EXP,25544,0.003378523554786091
2025-12-23,SPL,25502,0.006097677889632274
2025-12-23,WIA,25431,0.001723480862120436
2025-12-23,FLC,25300,0.002215763533288339
2025-12-23,RAD,25000,0.0007053745841506462
2025-12-23,AYA,24091,0.015239364773985976
2025-12-23,SHV,23830,0.016768978900564238
2025-12-23,WWI,23510,0.0006127183862124421
2025-12-23,CCR,23388,0.004886160003392986
2025-12-23,IMU,22878,0.007254155495477006
2025-12-23,LIC,22461,0.018449967173499036
2025-12-23,AAM,22380,0.002835961440215418
2025-12-23,SUL,21952,0.009720736937427627
2025-12-23,CVW,21901,0.0034850479635116414
2025-12-23,ARR,21827,0.003805213255128702
2025-12-23,NDQ,21431,0.015831240673448318
2025-12-23,WGN,21200,0.01061465735575627
2025-12-23,ACL,20968,0.010849074615535142
2025-12-23,CIIH,20956,0.0027472539897863265
2025-12-23,CTM,20836,0.0037020202864244353
2025-12-23,WJL,20383,0.00519271940029851
2025-12-23,ACF,20354,0.006536651467876157
2025-12-23,CPN,20280,0.008399093688092276
2025-12-23,SRL,19402,0.014640200877862726
2025-12-23,VBC,19238,0.0064260863484693264
2025-12-23,LAU,18948,0.005197399042457401
2025-12-23,MHJ,18389,0.00477831713652118
2025-12-23,AGVT,18357,0.07128403014440365
2025-12-23,FPH,18291,0.003114618916065075
2025-12-23,SXL,18020,0.0075114897552221
2025-12-23,QRE,17838,0.03405702051741698
2025-12-23,IGL,17822,0.011564823992165043
2025-12-23,MAF,17738,0.00910260109879757
2025-12-23,HUM,17645,0.003528484989387919
2025-12-23,RTR,17600,0.0013433640474542678
2025-12-23,OCC,17407,0.0064211100453690695
2025-12-23,CVV,17370,0.0031086549646728474
2025-12-23,GG8,17287,0.002367614740305081
2025-12-23,FRS,17196,0.0028784320391273387
2025-12-23,SUBD,16552,0.013193635961375105
2025-12-23,HUB,16354,0.019999076231980824
2025-12-23,CRED,16316,0.024391923373122546
2025-12-23,LDX,16140,0.0020502615574180838
2025-12-23,A11,15987,0.0021351776410234212
2025-12-23,UNI,15837,0.020642378515033925
2025-12-23,CXL,15729,0.007296232392864332
2025-12-23,SXE,15579,0.0058573439097085195
2025-12-23,MMS,15542,0.022316664480278744
2025-12-23,HSN,15473,0.00757634997771849
2025-12-23,PME,15317,0.014655896121932386
2025-12-23,GWA,15227,0.005741593677343619
2025-12-23,SWM,15100,0.0009810670293178992
2025-12-23,VBND,15000,0.015687659945497933
2025-12-23,CUE,13900,0.00198634059025291
2025-12-23,VYS,13547,0.002568420288750238
2025-12-23,AD8,13243,0.015704051289481314
2025-12-23,DDR,12863,0.007113788624469636
2025-12-23,XYZ,12826,0.0328418434275741
2025-12-23,SX2,12711,0.008986341524414385
2025-12-23,MNRS,12652,0.09136482526441062
2025-12-23,VAS,12447,0.006098631645309149
2025-12-23,MTH,12209,0.006616378648353776
2025-12-23,BRK,12189,0.012664565319264558
2025-12-23,RUL,12078,0.0054526233081777994
2025-12-23,VVLU,12065,0.0978735679551636
2025-12-23,EMH,11920,0.005261074069898269
2025-12-23,IMC,11778,0.003605654330915413
2025-12-23,AAC,11604,0.001925122787173261
2025-12-23,VBS,11408,0.02135996348584643
2025-12-23,BTR,11321,0.00160056759822717
2025-12-23,IOO,11305,0.03956204518520986
2025-12-23,AUB,11284,0.009678573078467445
2025-12-23,BKB,11252,0.0075647706426015164
2025-12-23,ECT,11204,0.004058962980025989
2025-12-23,VIF,11136,0.04405771212130683
2025-12-23,PPC,11129,0.002377184043446987
2025-12-23,BRE,10927,0.003988107985365224
2025-12-23,WA1,10806,0.014550227699752942
2025-12-23,VGE,10720,0.05909194314980232
2025-12-23,ELT,10646,0.0032243204696151594
2025-12-23,FHE,10623,0.0019484089268492675
2025-12-23,EVO,10512,0.005166061300801851
2025-12-23,ELS,10439,0.004752043565373389
2025-12-23,SIQ,10414,0.007679626908474672
2025-12-23,EDU,10325,0.007173532667267294
2025-12-23,STW,10097,0.012778202585904747
2025-12-23,LM1,10000,0.007861206809075467
2025-12-23,MML,10000,0.0025159157585661622
2025-12-23,MEU,10000,0.0008472380703986888
2025-12-23,ETM,10000,0.0005045968783183758
2025-12-23,ALR,10000,0.00016742934635033012
2025-12-23,A1M,9782,0.0012263988108690694
2025-12-23,CVB,9600,0.0020519057166251435
2025-12-23,GDX,9541,0.08435276909779935
2025-12-23,PXA,9254,0.005210530957158546
2025-12-23,XRF,9242,0.006463282102766242
2025-12-23,MVA,9142,0.028094210687281133
2025-12-23,CBO,9048,0.0018952215973504483
2025-12-23,VACF,8827,0.05989829301061496
2025-12-23,IESG,8786,0.06701329099480491
2025-12-23,A200,8590,0.014496088131895705
2025-12-23,SKC,8410,0.0007624279516124638
2025-12-23,VDGR,8372,0.043530599952746524
2025-12-23,CCP,8329,0.012236498774087641
2025-12-23,C79,8258,0.007089854513489555
2025-12-23,E200,8182,0.08773262629686289
2025-12-23,MAQ,8082,0.03135750771366754
2025-12-23,CUIV,8002,0.0012927779529951623
2025-12-23,FAIR,7987,0.013419283505356776
2025-12-23,OMA,7975,0.0017036145304310285
2025-12-23,VESG,7966,0.06574213929179722
2025-12-23,FPR,7870,0.0036411714969150737
2025-12-23,VGAD,7791,0.015528538348174904
2025-12-23,CYM,7697,0.0015639335729689195
2025-12-23,LIS,7683,0.0012000932895634853
2025-12-23,IEM,7634,0.044285710473553126
2025-12-23,EGR,7512,0.0016275550301119996
2025-12-23,CAF,7496,0.0036028637325849953
2025-12-23,PSC,7277,0.0010320862583684262
2025-12-23,MQIO,7239,0.08938748641869572
2025-12-23,CCL,7180,0.003748128813247984
2025-12-23,CLV,7058,0.004226363983077035
2025-12-23,AUE,7058,0.002040154064873286
2025-12-23,PFG,6923,0.0025994774062889805
2025-12-23,TVN,6868,0.000305021656355512
2025-12-23,JAN,6780,0.0026088135757671724
2025-12-23,SPZ,6750,0.0016457276832542093
2025-12-23,QSML,6726,0.013459789718701801
2025-12-23,SNL,6664,0.015230661442440088
2025-12-23,SYL,6569,0.0027468771521394647
2025-12-23,HZR,6447,0.00242648380726849
2025-12-23,ARB,6431,0.007705907485757701
